ccd_slug,post_id,trustee_name,role,seat,source_title,source_url,retrieved
cisco,cisco-tx-ccd/trustee,Kenneth Preston,Regent,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Staci Wilks,Regent,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
central-texas,central-texas-tx-ccd/trustee,Jimmy Towers,Chair,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
central-texas,central-texas-tx-ccd/trustee,Charles Rex Weaver,Vice Chair,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
central-texas,central-texas-tx-ccd/trustee,Brenda Coley,Secretary,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
central-texas,central-texas-tx-ccd/trustee,Ernest Wilkerson,Treasurer,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
central-texas,central-texas-tx-ccd/trustee,Eric R. Armstrong,Trustee,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
central-texas,central-texas-tx-ccd/trustee,"Charles J. Brashear, Jr.",Trustee,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
central-texas,central-texas-tx-ccd/trustee,Mark Manning,Trustee,,Central Texas College Board of Trustees page (fetched via search snippet -- direct fetch returned HTTP 403),https://www.ctcd.edu/about-ctc/leadership/board-of-trustees/,2026-09-02
dallas,dallas-tx-ccd/trustee-district-1,"Catalina E. Garcia, M.D.",Trustee,,Dallas College Board of Trustees page,https://www.dallascollege.edu/about/trustees/,2026-09-02
dallas,dallas-tx-ccd/trustee-district-2,Philip J. Ritter,Trustee,,Dallas College Board of Trustees page,https://www.dallascollege.edu/about/trustees/,2026-09-02
dallas,dallas-tx-ccd/trustee-district-3,Paul Mayer,Chair,,Dallas College Board of Trustees page,https://www.dallascollege.edu/about/trustees/,2026-09-02
dallas,dallas-tx-ccd/trustee-district-4,Monica Lira Bravo,Trustee,,Dallas College Board of Trustees page,https://www.dallascollege.edu/about/trustees/,2026-09-02
dallas,dallas-tx-ccd/trustee-district-5,Cliff Boyd,Vice Chair,,Dallas College Board of Trustees page,https://www.dallascollege.edu/about/trustees/,2026-09-02
dallas,dallas-tx-ccd/trustee-district-7,Kesha N. O'Reilly,Trustee,,Dallas College Board of Trustees page,https://www.dallascollege.edu/about/trustees/,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-1,"John E. Uxer, Jr.",Trustee,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-2,Brian Haggerty,Chair,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-3,Belen Robles,Trustee,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-4,Jesus Mendez,Trustee,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-5,Carmen Olivas Graham,Secretary,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-6,Diana Mooy,Trustee,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
el-paso,el-paso-tx-ccd/trustee-district-7,Bonnie Soria Najera,Vice Chair,,EPCC Board of Trustees page,https://www.epcc.edu/Administration/BoardOfTrustees,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-1,Teresa Ayala,Trustee,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-2,Shannon Wood,Secretary,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-3,Jeannie Deakyne,President,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-4,Laura Forkner Pritchett,Assistant Secretary,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-5,Leonard Hornsby,Vice President,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-6,"Gwendolyn Morrison, Ph.D.",Trustee,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
tarrant-county,tarrant-county-tx-ccd/trustee-district-7,Veronica Chavez Law,Trustee,,TCC Board of Trustees Members page,https://www.tccd.edu/about/administration/board-of-trustees/members-of-the-board/,2026-09-02
hill,hill-tx-ccd/trustee-hillsboro-place-2,David Teel,President,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-hillsboro-place-1,Bill Galiga,Vice President,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-itasca-place-2,Karen Brackin,Secretary,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-hillsboro-place-3,Christy Bailey,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-whitney-place-3,Kent Eubank,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-whitney-place-1,Allan Lane,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-bynum,Jolene Lehmann,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-itasca-place-1,Dwight Lloyd,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-whitney-place-2,Jennifer Nowlin,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-covington,Kevin Ray,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-hillsboro-place-4,Bill Siddons III,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
hill,hill-tx-ccd/trustee-abbott,Rick Sullins,Trustee,,Hill College Board of Regents page,https://www.hillcollege.edu/About/Regents/index.html,2026-09-02
