ccd_slug,post_id,trustee_name,role,seat,source_title,source_url,retrieved
alvin,alvin-tx-ccd/trustee,'Bel Sanchez,Chair,Position 2,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Jim Crumm,Vice Chair,Position 3,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Patty Hertenberger,Secretary,Position 7,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Michael Hoover,Regent,Position 9,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Breah Knape,Regent,Position 1,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Kam Marvel,Regent,Position 4,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Mike Pyburn,Regent,Position 6,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Yvette Reyes-Hall,Regent,Position 8,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
alvin,alvin-tx-ccd/trustee,Darren Shelton,Regent,Position 5,Alvin Community College Board of Regents profiles,https://www.alvincollege.edu/about/college-leadership/board-of-regents/board-member-profiles.html,2026-09-02
angelina,angelina-tx-ccd/trustee,Curt Fenley,President,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
angelina,angelina-tx-ccd/trustee,Gilbert (Joey) Garza,Vice President,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
angelina,angelina-tx-ccd/trustee,"Sidney Roberts, M.D.",Secretary,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
angelina,angelina-tx-ccd/trustee,Lynne Haney,Trustee,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
angelina,angelina-tx-ccd/trustee,"Robert Lindsey, M.D.",Trustee,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
angelina,angelina-tx-ccd/trustee,Johnnie Ross,Trustee,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
angelina,angelina-tx-ccd/trustee,Hilary Haglund-Walker,Trustee,,Angelina College Board of Trustees page,https://www.angelina.edu/board-and-administration/,2026-09-02
austin,austin-tx-ccd/trustee,Sean Hassan,Chair,Place 4,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Manuel Gonzalez,Vice Chair,Place 5,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Dana Walker,Secretary,Place 1,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Gigi Edwards Bryant,Trustee,Place 2,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Nan McRaven,Trustee,Place 3,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Steve Jackobs,Trustee,Place 6,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Sherri Lynn Taylor,Trustee,Place 7,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Stephanie Gharakhanian,Trustee,Place 8,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
austin,austin-tx-ccd/trustee,Julie Ann Nitsch,Trustee,Place 9,Austin Community College District Board of Trustees page,https://offices.austincc.edu/board-of-trustees/board-members/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Jason M. Cordoba,Chairman,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Roland K. Hendricks,Vice Chair,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Cheryl Sellers,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Daniel L Yates,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Jay Gibson,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Jennifer Monical,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Joe Bohon,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Monica Caudillo,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
brazosport,brazosport-tx-ccd/trustee,Nita Garza,Regent,,Brazosport College Board of Regents page,https://www.brazosport.edu/about-bc/board-of-regents/,2026-09-02
cisco,cisco-tx-ccd/trustee,Brad Kimbrough,President,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Jerry Conring,Vice President,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Ricky Whatley,Secretary,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Kyle Wilks,Regent,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Rick Watts,Regent,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Greg Cary,Regent,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
cisco,cisco-tx-ccd/trustee,Jayln Johnson,Regent,,Cisco College Board of Regents page,https://www.cisco.edu/about/board-of-regents,2026-09-02
