ccd_slug,post_id,trustee_name,role,seat,source_title,source_url,retrieved
texarkana,texarkana-tx-ccd/trustee-at-large,George Moore,Secretary,Place 7,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-1,Steve Grant,President,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-2,Bettye Mayfield,Trustee,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-3,Michael Hembree,Vice President,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-4,Dr. Clayton Gautreaux,Trustee,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-5,Ginger Morton,Trustee,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-6,Dr. Charlie Risinger,Trustee,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-7,Jerry Stone,Trustee,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-8,Ron Day,Secretary,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
trinity-valley,trinity-valley-tx-ccd/trustee-district-9,Dr. Terry Eason,Trustee,,Trinity Valley Community College Board of Trustees page,https://coursecatalog.tvcc.edu/general-information/board-trustees/,2026-09-02
victoria,victoria-tx-ccd/trustee-district-1,Dr. Estella P. De Los Santos,Trustee,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
victoria,victoria-tx-ccd/trustee-district-2,Luis A. Guerra,Vice Chair,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
victoria,victoria-tx-ccd/trustee-district-3,V. Bland Proctor,Chair,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
victoria,victoria-tx-ccd/trustee-district-4,John E. Zacek,Secretary,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
victoria,victoria-tx-ccd/trustee-district-5,Ronald B. Walker,Trustee,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
victoria,victoria-tx-ccd/trustee-district-6,Catherine R. McHaney,Trustee,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
victoria,victoria-tx-ccd/trustee-at-large,Dr. Daniel A. Cano,Trustee,,Victoria College Board of Trustees page,https://www.victoriacollege.edu/Explore/AboutVC/BoardOfTrusteesAdministration,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Dr. Robert Marlett,Trustee (Wise County Appointee -- not popularly elected),,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
