ccd_slug,post_id,trustee_name,role,seat,source_title,source_url,retrieved
southwest-texas,southwest-texas-tx-ccd/trustee,Dr. Harry O. Watkins,President,Place 6,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
southwest-texas,southwest-texas-tx-ccd/trustee,Dr. Antonio H. Rivera,Vice President,Place 7,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
southwest-texas,southwest-texas-tx-ccd/trustee,Tony T. Moreno,Secretary,Place 4,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
southwest-texas,southwest-texas-tx-ccd/trustee,Maria Elena Lara,Trustee,Place 2,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
southwest-texas,southwest-texas-tx-ccd/trustee,Victor Lopez,Trustee,Place 1,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
southwest-texas,southwest-texas-tx-ccd/trustee,Anita Shackelford,Trustee,Place 3,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
southwest-texas,southwest-texas-tx-ccd/trustee,Rogelio M. Munoz,Trustee,Place 5,Southwest Texas College Board of Trustees page,https://www.swtxc.edu/about/board-of-trustees/index.html,2026-09-02
temple,temple-tx-ccd/trustee,Larry J. Wilkerson,Chairman,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,Alejandro C. Arroliga,Vice-Chairman,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,Andrejs Avots-Avotins,Secretary,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,Jack Myers,Trustee,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,Lydia Santibanez-Farrell,Trustee,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,Mark H. Durham,Trustee,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,J. Harry Adams,Trustee,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,Hope Koch,Trustee,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
temple,temple-tx-ccd/trustee,John Bailey,Trustee,,Temple College Board of Trustees page,https://www.templecollege.edu/about/board-of-trustees.html,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,Adela G. Garza,Chair,Place 1,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,Delia Saenz,Vice Chair,Place 4,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,Dr. Norma Lopez-Harris,Secretary,Place 7,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,"Alejandra Aldrete, M.Ed.",Trustee,Place 2,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,"Tony Zavaleta, Ph.D.",Trustee,Place 3,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,"Edgar E. Garcia, MPAS PA-C",Trustee,Place 5,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
texas-southmost,texas-southmost-tx-ccd/trustee,"Edward C. Camarillo, M.P.P.M.",Trustee,Place 6,Texas Southmost College Board of Trustees page,https://www.tsc.edu/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Lonny Uzzell,President,Place 6,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Clint Roxburgh,First Vice President,Place 2,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Paul N. Latta,Second Vice President,Place 4,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Rohn Boone,Trustee,Place 9,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Ann Brookshire,Trustee,Place 7,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Mike Coker,Trustee,Place 5,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Dr. Joe Prud'homme,Trustee,Place 3,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,Peggy Wagstaff Smith,Trustee,Place 1,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
tyler,tyler-tx-ccd/trustee,David Hudson,Trustee,Place 8,Tyler Junior College Board of Trustees page,https://tjc.edu/about/leadership/board-of-trustees/,2026-09-02
vernon,vernon-tx-ccd/trustee,Bob Ferguson,Chairman,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
vernon,vernon-tx-ccd/trustee,Ann Wilson,Vice Chairman,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
vernon,vernon-tx-ccd/trustee,Betsy Smith,Secretary,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
vernon,vernon-tx-ccd/trustee,Daryl Wolf,Trustee,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
vernon,vernon-tx-ccd/trustee,James Brock,Trustee,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
vernon,vernon-tx-ccd/trustee,Jamie Chapman,Trustee,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
vernon,vernon-tx-ccd/trustee,Meg Heatly,Trustee,,Vernon College Board of Trustees page,https://www.vernoncollege.edu/current,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Dan Carney,Chair,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Doug Dowd,Vice-Chair,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Lela Morris,Secretary/Treasurer,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
weatherford,weatherford-tx-ccd/trustee,G.B. Bailey,Trustee,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Mary Beth Dennie,Trustee,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Trev Dixon,Trustee,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
weatherford,weatherford-tx-ccd/trustee,Tom Vick,Trustee,,Weatherford College Board of Trustees page,https://wc.edu/about/administration-departments/board-of-trustees/,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Jason West,President,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Eddie Peterson,Trustee,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Drew Bullard,Trustee,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Dr. Jay Kidd,Trustee,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Mike McWilliams,Trustee,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Amy Hargrove,Trustee,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
western-texas,western-texas-tx-ccd/trustee,Tim Riggan,Trustee,,"Western Texas College Board of Trustees (2022 meeting attendance, best available source)",https://www.wtc.edu/faculty/boardoftrustees/Agenda-Apr-11-2022.html,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Dr. Priscilla Metcalf,Board Chair,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Dr. Bret Macha,Board Vice Chair,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Jay Roussel,Board Secretary,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,J. Paul Pope,Trustee,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Terry David Lynch,Trustee,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Larry Sitka,Trustee,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,David Vallejo,Trustee,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Dr. Wayne Taylor,Trustee,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
wharton-county,wharton-county-tx-ccd/trustee,Edgar Erwin,Trustee,,WCJC Board of Trustees page,https://www.wcjc.edu/about/leadership/board-of-trustees/board-members.aspx,2026-09-02
paris,paris-tx-ccd/trustee-precinct-1,Curtis Fendley,President,Place 9,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-1,Dr. Linda Kapp,Trustee,Place 7,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-2,Berdie Gibson,Secretary,Place 1,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-2,Shannon McGuire,Trustee,Place 2,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-3,Dr. Clifton Wilkerson,Vice President,Place 3,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-3,Ginna Bowman,Trustee,Place 6,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-4,Charles Lynch,Trustee,Place 4,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-precinct-4,Josh Bray,Trustee,Place 8,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
paris,paris-tx-ccd/trustee-at-large,Taylor Slagle,Trustee,Place 5,Paris Junior College Board of Regents page,https://www.parisjc.edu/about/regents.php,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-1,Rose Benavidez,Trustee,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-2,Victoria Cantu,Secretary,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-3,Paul R. Rodriguez,Chair,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-4,Dalinda Gonzalez-Alcantar,Vice Chair,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-5,Dr. Alejo Salinas Jr.,Trustee,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-6,David De Los Rios,Trustee,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
south-texas,south-texas-tx-ccd/trustee-district-7,Rina Castillo,Trustee,,South Texas College Board of Trustees page,https://catalog.southtexascollege.edu/trustees/,2026-09-02
texarkana,texarkana-tx-ccd/trustee-district-1,Tiffani Neal,Trustee,Place 1,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
texarkana,texarkana-tx-ccd/trustee-district-2,Lesley Ledwell Dukelow,Vice-Chair,Place 2,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
texarkana,texarkana-tx-ccd/trustee-district-3,Dr. John Booth,Trustee,Place 3,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
texarkana,texarkana-tx-ccd/trustee-district-4,Ernie Cochran,Trustee,Place 4,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
texarkana,texarkana-tx-ccd/trustee-at-large,Derrick McGary,Chair,Place 5,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
texarkana,texarkana-tx-ccd/trustee-at-large,Liliana Luna,Trustee,Place 6,Texarkana College Board of Trustees page,https://www.texarkanacollege.edu/about/leadership-faculty-staff/board-of-trustees/,2026-09-02
