name,county,entity_type,status,website,report_year,spd_id,notes
Liberty Lakes Fresh Water Supply District No. 1 of Liberty County,Liberty County,Fresh Water Supply District,INACTIVE,,2023,103228147,
Marble Falls Ranch Fresh Water Supply District #1,Burnet County,Fresh Water Supply District,ACTIVE,,2024,103227884,
Martin County Freshwater Supply District #1,Martin County,Fresh Water Supply District,ACTIVE,,2026,103227514,
Midland County Fresh Water Supply District #1,Midland County,Fresh Water Supply District,ACTIVE,,2026,103227578,
Montgomery County Fresh Water Supply District #6,Montgomery County,Fresh Water Supply District,ACTIVE,,2026,103227222,
Plum Creek Fresh Water Supply District #1,Harris County,Fresh Water Supply District,ACTIVE,https://www.sklawdistrictdata.org,2026,103225900,
Polk County Fresh Water Supply District #2,Polk County,Fresh Water Supply District,ACTIVE,http://polkcountyfreshwater.com/,2026,103227273,
Polo Ridge  Fresh Water Supply District,Kaufman County,Fresh Water Supply District,INACTIVE,,2020,103226979,
Redbird Ranch Fresh Water Supply District  No. 2 of Medina County,Medina County,Fresh Water Supply District,ACTIVE,https://www.utilitytaxservice.com/DistrictDetail/RRF2,2026,103228357,
The Lakes Fresh Water Supply District,Denton County,Fresh Water Supply District,ACTIVE,,2026,103227436,
Tom Green County Fresh Water District #1,Tom Green County,Fresh Water Supply District,ACTIVE,https://conchoruralwater.com,2026,103227625,
Tom Green County Fresh Water District #3,Tom Green County,Fresh Water Supply District,ACTIVE,https://tgcfwd3.com,2026,103227673,
Walden Pond Fresh Water Supply District of Kaufman County,Kaufman County,Fresh Water Supply District,ACTIVE,https://www.winsteadspecialdistricts.com/kaufman-county/walden-pond-fresh-water-supply-district-of-k,2026,103228011,
