tasb_key,tasb_name,tea_cdn,tea_district_name,district_type,match_method,tasb_url
397,Yorktown ISD,062904,YORKTOWN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=397
398,Westhoff ISD,062905,WESTHOFF ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=398
399,Meyersville ISD,062906,MEYERSVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=399
401,Spur ISD,063903,SPUR ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=401
402,Patton Springs ISD,063906,PATTON SPRINGS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=402
404,Carrizo Springs CISD,064903,CARRIZO SPRINGS CISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=404
407,Hedley ISD,065902,HEDLEY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=407
409,Benavides ISD,066901,BENAVIDES ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=409
410,San Diego ISD,066902,SAN DIEGO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=410
411,Freer ISD,066903,FREER ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=411
415,Cisco ISD,067902,CISCO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=415
416,Eastland ISD,067903,EASTLAND ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=416
417,Gorman ISD,067904,GORMAN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=417
418,Ranger ISD,067907,RANGER ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=418
419,Rising Star ISD,067908,RISING STAR ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=419
421,Ector County ISD,068901,ECTOR COUNTY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=421
422,Rocksprings ISD,069901,ROCKSPRINGS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=422
423,Nueces Canyon CISD,069902,NUECES CANYON CISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=423
425,Avalon ISD,070901,AVALON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=425
426,Ennis ISD,070903,ENNIS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=426
427,Ferris ISD,070905,FERRIS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=427
428,Italy ISD,070907,ITALY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=428
429,Midlothian ISD,070908,MIDLOTHIAN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=429
430,Milford ISD,070909,MILFORD ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=430
431,Palmer ISD,070910,PALMER ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=431
432,Red Oak ISD,070911,RED OAK ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=432
433,Waxahachie ISD,070912,WAXAHACHIE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=433
434,Maypearl ISD,070915,MAYPEARL ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=434
436,Clint ISD,071901,CLINT ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=436
437,El Paso ISD,071902,EL PASO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=437
438,Fabens ISD,071903,FABENS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=438
439,San Elizario ISD,071904,SAN ELIZARIO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=439
440,Ysleta ISD,071905,YSLETA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=440
441,Anthony ISD,071906,ANTHONY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=441
442,Canutillo ISD,071907,CANUTILLO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=442
443,Tornillo ISD,071908,TORNILLO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=443
444,Socorro ISD,071909,SOCORRO ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=444
447,Three Way ISD-Erath County,072901,THREE WAY ISD,INDEPENDENT,county_suffix_disambiguation,https://pol.tasb.org/PolicyOnline?key=447
448,Dublin ISD,072902,DUBLIN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=448
449,Stephenville ISD,072903,STEPHENVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=449
450,Bluff Dale ISD,072904,BLUFF DALE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=450
451,Huckabay ISD,072908,HUCKABAY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=451
453,Morgan Mill ISD,072910,MORGAN MILL ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=453
454,Chilton ISD,073901,CHILTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=454
455,Marlin ISD,073903,MARLIN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=455
456,Westphalia ISD,073904,WESTPHALIA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=456
457,Rosebud-Lott ISD,073905,ROSEBUD-LOTT ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=457
458,Bonham ISD,074903,BONHAM ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=458
459,Dodd City ISD,074904,DODD CITY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=459
460,Ector ISD-Fannin County,074905,ECTOR ISD,INDEPENDENT,county_suffix_disambiguation,https://pol.tasb.org/PolicyOnline?key=460
461,Honey Grove ISD,074907,HONEY GROVE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=461
462,Leonard ISD,074909,LEONARD ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=462
463,Savoy ISD,074911,SAVOY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=463
464,Trenton ISD,074912,TRENTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=464
466,Sam Rayburn ISD,074917,SAM RAYBURN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=466
467,Flatonia ISD,075901,FLATONIA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=467
468,La Grange ISD,075902,LA GRANGE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=468
470,Fayetteville ISD,075906,FAYETTEVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=470
471,Round Top-Carmine ISD,075908,ROUND TOP-CARMINE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=471
474,Roby CISD,076903,ROBY CISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=474
475,Rotan ISD,076904,ROTAN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=475
476,Floydada Collegiate ISD,077901,FLOYDADA COLLEGIATE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=476
477,Lockney ISD,077902,LOCKNEY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=477
480,Crowell ISD,078901,CROWELL ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=480
481,Lamar CISD,079901,LAMAR CISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=481
482,Needville ISD,079906,NEEDVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=482
483,Fort Bend ISD,079907,FORT BEND ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=483
485,Stafford Municipal School District,079910,STAFFORD MSD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=485
486,Mount Vernon ISD,080901,MOUNT VERNON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=486
487,Fairfield ISD,081902,FAIRFIELD ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=487
488,Teague ISD,081904,TEAGUE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=488
489,Wortham ISD,081905,WORTHAM ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=489
490,Dew ISD,081906,DEW ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=490
491,Dilley ISD,082902,DILLEY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=491
492,Pearsall ISD,082903,PEARSALL ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=492
493,Seagraves ISD,083901,SEAGRAVES ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=493
494,Loop ISD,083902,LOOP ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=494
495,Seminole ISD,083903,SEMINOLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=495
498,Dickinson ISD,084901,DICKINSON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=498
499,Galveston ISD,084902,GALVESTON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=499
500,High Island ISD,084903,HIGH ISLAND ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=500
502,Texas City ISD,084906,TEXAS CITY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=502
503,Hitchcock ISD,084908,HITCHCOCK ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=503
504,Santa Fe ISD,084909,SANTA FE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=504
505,Clear Creek ISD,084910,CLEAR CREEK ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=505
506,Friendswood ISD,084911,FRIENDSWOOD ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=506
507,Post ISD,085902,POST ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=507
508,Southland ISD,085903,SOUTHLAND ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=508
510,Fredericksburg ISD,086901,FREDERICKSBURG ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=510
511,Harper ISD,086902,HARPER ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=511
512,Glasscock County ISD,087901,GLASSCOCK COUNTY ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=512
513,Goliad ISD,088902,GOLIAD ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=513
514,Gonzales ISD,089901,GONZALES ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=514
515,Nixon-Smiley CISD,089903,NIXON-SMILEY CISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=515
517,Waelder ISD,089905,WAELDER ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=517
519,Lefors ISD,090902,LEFORS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=519
520,McLean ISD,090903,MCLEAN ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=520
521,Pampa ISD,090904,PAMPA ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=521
522,Grandview-Hopkins ISD,090905,GRANDVIEW-HOPKINS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=522
524,Bells ISD,091901,BELLS ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=524
525,Collinsville ISD,091902,COLLINSVILLE ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=525
526,Denison ISD,091903,DENISON ISD,INDEPENDENT,exact_normalized_name,https://pol.tasb.org/PolicyOnline?key=526
